VCD info: dumpfile combinational_karatsuba.vcd opened for output.
X = 13604, Y = 24193, Z =  329121572, trueprod:  329121572
X = 54793, Y = 22115, Z = 1211747195, trueprod: 1211747195
X = 31501, Y = 39309, Z = 1238272809, trueprod: 1238272809
X = 33893, Y = 21010, Z =  712091930, trueprod:  712091930
X = 58113, Y = 52493, Z = 3050525709, trueprod: 3050525709
X = 61814, Y = 52541, Z = 3247769374, trueprod: 3247769374
X = 22509, Y = 63372, Z = 1426440348, trueprod: 1426440348
X = 59897, Y =  9414, Z =  563870358, trueprod:  563870358
X = 33989, Y = 53930, Z = 1833026770, trueprod: 1833026770
X = 63461, Y = 29303, Z = 1859597683, trueprod: 1859597683
X = 54802, Y = 56207, Z = 3080256014, trueprod: 3080256014
X = 27122, Y = 38606, Z = 1047071932, trueprod: 1047071932
X = 31464, Y = 20165, Z =  634471560, trueprod:  634471560
X = 18780, Y = 10429, Z =  195856620, trueprod:  195856620
X = 22573, Y =  9829, Z =  221870017, trueprod:  221870017
X = 25187, Y = 34570, Z =  870714590, trueprod:  870714590
X =  8832, Y =  8480, Z =   74895360, trueprod:   74895360
X = 17834, Y = 52381, Z =  934162754, trueprod:  934162754
X = 16022, Y = 47123, Z =  755004706, trueprod:  755004706
X = 14349, Y = 54867, Z =  787286583, trueprod:  787286583
X = 56683, Y = 10965, Z =  621529095, trueprod:  621529095
X = 18946, Y = 16046, Z =  304007516, trueprod:  304007516
X = 59677, Y = 29391, Z = 1753966707, trueprod: 1753966707
X = 18723, Y = 25866, Z =  484289118, trueprod:  484289118
X =  2762, Y = 19516, Z =   53903192, trueprod:   53903192
X = 48626, Y = 24970, Z = 1214191220, trueprod: 1214191220
X = 45889, Y = 13528, Z =  620786392, trueprod:  620786392
X = 62328, Y =  4745, Z =  295746360, trueprod:  295746360
X =  3563, Y = 26038, Z =   92773394, trueprod:   92773394
X = 63942, Y =  5038, Z =  322139796, trueprod:  322139796
X =   700, Y = 56618, Z =   39632600, trueprod:   39632600
X = 39435, Y = 48753, Z = 1922574555, trueprod: 1922574555
X = 16773, Y = 21839, Z =  366305547, trueprod:  366305547
X = 24635, Y = 13114, Z =  323063390, trueprod:  323063390
X = 12926, Y = 19221, Z =  248450646, trueprod:  248450646
X = 39921, Y = 19417, Z =  775146057, trueprod:  775146057
X =  1890, Y = 64332, Z =  121587480, trueprod:  121587480
X = 21919, Y = 41359, Z =  906547921, trueprod:  906547921
X = 43512, Y = 24759, Z = 1077313608, trueprod: 1077313608
X = 22175, Y = 37980, Z =  842206500, trueprod:  842206500
X = 49243, Y = 14217, Z =  700087731, trueprod:  700087731
X = 12873, Y = 16080, Z =  206997840, trueprod:  206997840
X = 49367, Y = 64593, Z = 3188762631, trueprod: 3188762631
X = 12182, Y = 32524, Z =  396207368, trueprod:  396207368
X = 52930, Y = 60872, Z = 3221954960, trueprod: 3221954960
X = 23159, Y = 60733, Z = 1406515547, trueprod: 1406515547
X = 56082, Y =   126, Z =    7066332, trueprod:    7066332
X = 33133, Y = 59193, Z = 1961241669, trueprod: 1961241669
X = 36639, Y = 63187, Z = 2315108493, trueprod: 2315108493
X = 12165, Y = 34936, Z =  424996440, trueprod:  424996440
X = 22875, Y = 19273, Z =  440869875, trueprod:  440869875
X = 44607, Y = 44842, Z = 2000267094, trueprod: 2000267094
X = 25432, Y = 14470, Z =  368001040, trueprod:  368001040
X =  3214, Y = 62108, Z =  199615112, trueprod:  199615112
X = 39418, Y = 48166, Z = 1898607388, trueprod: 1898607388
X =  6003, Y = 46243, Z =  277596729, trueprod:  277596729
X = 43055, Y = 37555, Z = 1616930525, trueprod: 1616930525
X = 22111, Y =  3396, Z =   75088956, trueprod:   75088956
X = 65015, Y = 14027, Z =  911965405, trueprod:  911965405
X =  6886, Y = 56154, Z =  386676444, trueprod:  386676444
X = 49449, Y = 58093, Z = 2872640757, trueprod: 2872640757
X = 27866, Y = 46693, Z = 1301147138, trueprod: 1301147138
X = 58037, Y = 38111, Z = 2211848107, trueprod: 2211848107
X =  6521, Y = 65348, Z =  426134308, trueprod:  426134308
X =  3280, Y =  2858, Z =    9374240, trueprod:    9374240
X = 44459, Y = 53006, Z = 2356593754, trueprod: 2356593754
X = 44508, Y = 48282, Z = 2148935256, trueprod: 2148935256
X = 29437, Y =   707, Z =   20811959, trueprod:   20811959
X = 60758, Y = 59726, Z = 3628832308, trueprod: 3628832308
X = 30311, Y = 13322, Z =  403803142, trueprod:  403803142
X = 47542, Y = 35384, Z = 1682226128, trueprod: 1682226128
X = 34681, Y = 50360, Z = 1746535160, trueprod: 1746535160
X = 49044, Y = 23955, Z = 1174849020, trueprod: 1174849020
X = 11268, Y = 51801, Z =  583693668, trueprod:  583693668
X = 27099, Y = 56909, Z = 1542176991, trueprod: 1542176991
X = 47065, Y =  9837, Z =  462978405, trueprod:  462978405
X = 57974, Y = 18890, Z = 1095128860, trueprod: 1095128860
X = 11702, Y = 29077, Z =  340259054, trueprod:  340259054
X =  6726, Y = 39684, Z =  266914584, trueprod:  266914584
